,Name,Age,B,T,Ht,Wt,DoB,Birthplace,minor_urls,major_urls,salary,draft_round,years_in_minors,minor_positions
11,Brian Cooper,25,R,R,"6' 1""",175,"Aug 19, 1974","Hollywood, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=cooper001bri,https://www.baseball-reference.com/players/c/coopebr01.shtml,0.0,4,12,StartingPitcher
12,Steve Decker,34,R,R,"6' 3""",205,"Oct 25, 1965","Rock Island, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=decker001ste,https://www.baseball-reference.com/players/d/deckest01.shtml,-770156.7213068891,21,11,"Catcher,FirstBaseman,ThirdBaseman"
13,Chris Demouy,24,R,L,"6' 1""",205,"Nov 3, 1975","Baton Rouge, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=demouy001chr,,0.0,24,4,ReliefPitcher
14,Jason Dickson,27,L,R,"6' 0""",190,"Mar 30, 1973","London, ON, CA",https://www.baseball-reference.com/register/player.fcgi?id=dickso001jas,https://www.baseball-reference.com/players/d/dicksja01.shtml,-1564523.5536645132,6,8,StartingPitcher
15,Renny Duarte,21,R,R,"6' 0""",170,"Nov 7, 1978","Maracaibo, Zulia, VE",https://www.baseball-reference.com/register/player.fcgi?id=duarte001ren,,0.0,np.nan,5,Pitcher
16,Trent Durrington,24,R,R,"5' 10""",185,"Aug 27, 1975","Sydney, New South Wales, AU",https://www.baseball-reference.com/register/player.fcgi?id=durrin001tre,https://www.baseball-reference.com/players/d/durritr01.shtml,-325809.029165002,np.nan,14,"SecondBaseman,ThirdBaseman,Outfielder"
17,David Eckstein,25,R,R,"5' 6""",170,"Jan 20, 1975","Sanford, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=eckste001dav,https://www.baseball-reference.com/players/e/eckstda01.shtml,26164493.5965654,19,6,"Shortstop,SecondBaseman"
18,Seth Etherton,23,R,R,"6' 1""",195,"Oct 17, 1976","Laguna Beach, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=ethert001set,https://www.baseball-reference.com/players/e/etherse01.shtml,974985.026872484,1,11,StartingPitcher
19,Mike Fyhrie,30,R,R,"6' 2""",190,"Dec 9, 1969","Long Beach, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=fyhrie001mic,https://www.baseball-reference.com/players/f/fyhrimi01.shtml,-399116.0607271274,12,12,Pitcher
20,Bryan Graves,25,R,R,"6' 0""",220,"Oct 8, 1974","Bogalusa, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=graves001bry,,0.0,20,6,"Catcher,Leftfielder"
21,Steve Green,22,R,R,"6' 2""",200,"Jan 26, 1978","Greenfield Park, QC, CA",https://www.baseball-reference.com/register/player.fcgi?id=green-002ste,https://www.baseball-reference.com/players/g/greenst01.shtml,301757.6318223867,10,11,Pitcher
22,Chris Hatcher,31,R,R,"6' 3""",220,"Jan 7, 1969","Anaheim, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hatche001chr,https://www.baseball-reference.com/players/h/hatchch01.shtml,0.0,3,13,"Outfielder,FirstBaseman"
23,Mike Heathcott,31,R,R,"6' 3""",180,"May 16, 1969","Chicago, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=heathc001mic,https://www.baseball-reference.com/players/h/heathmi03.shtml,0.0,13,10,Pitcher
24,Bret Hemphill,28,S,R,"6' 3""",200,"Dec 17, 1971","Santa Clara, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hemphi001bre,https://www.baseball-reference.com/players/h/hemphbr01.shtml,0.0,14,7,Catcher
25,Ken Hill,34,R,R,"6' 4""",200,"Dec 14, 1965","Lynn, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=hill--004ken,https://www.baseball-reference.com/players/h/hillke01.shtml,-49463637.21860088,np.nan,12,StartingPitcher
26,Brett Hinchliffe,25,R,R,"6' 5""",190,"Jul 21, 1974","Detroit, MI, US",https://www.baseball-reference.com/register/player.fcgi?id=hinchl001bre,https://www.baseball-reference.com/players/h/hinchbr01.shtml,-325809.029165002,16,10,Pitcher
27,Mike Holtz,27,L,L,"5' 9""",172,"Oct 10, 1972","Arlington, VA, US",https://www.baseball-reference.com/register/player.fcgi?id=holtz-001mic,https://www.baseball-reference.com/players/h/holtzmi01.shtml,-1308623.5821617844,17,11,ReliefPitcher
28,Dwayne Hosey,33,S,R,"5' 10""",175,"Mar 11, 1967","Sharon, PA, US",https://www.baseball-reference.com/register/player.fcgi?id=hosey-001dwa,https://www.baseball-reference.com/players/h/hoseydw01.shtml,-585227.3073223745,13,12,Outfielder
29,Jeff Hundley,23,L,L,"6' 1""",205,"Feb 19, 1977","Warren, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=hundle001jef,,0.0,7,8,Pitcher
30,Keith Johnson,29,R,R,"5' 11""",200,"Apr 17, 1971","Hanford, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=johnso002kei,https://www.baseball-reference.com/players/j/johnske04.shtml,0.0,4,12,"Shortstop,ThirdBaseman,SecondBaseman"
31,Greg Jones,23,R,R,"6' 2""",190,"Nov 15, 1976","Clearwater, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=jones-001gre,https://www.baseball-reference.com/players/j/jonesgr01.shtml,433180.49682875257,42,12,ReliefPitcher
32,Greg Keagle,29,R,R,"6' 1""",185,"Jun 28, 1971","Corning, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=keagle001gre,https://www.baseball-reference.com/players/k/keaglgr01.shtml,-808983.9676788178,6,9,StartingPitcher
33,Rich Kelley,30,L,L,"6' 3""",210,"May 27, 1970","Brockton, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=kelley002ric,,0.0,20,10,Pitcher
34,Brett King,27,R,R,"6' 1""",190,"Jul 20, 1972","Orlando, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=king--002bre,,0.0,2,8,"Shortstop,SecondBaseman,ThirdBaseman"
35,Keith Luuloa,25,R,R,"6' 0""",185,"Dec 24, 1974","Honolulu, HI, US",https://www.baseball-reference.com/register/player.fcgi?id=luuloa001kei,https://www.baseball-reference.com/players/l/luuloke01.shtml,0.0,33,10,"SecondBaseman,ThirdBaseman,Shortstop"
36,Bart Miadich,24,R,R,"6' 4""",205,"Feb 3, 1976","Torrance, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=miadic001joh,https://www.baseball-reference.com/players/m/miadiba01.shtml,0.0,49,9,ReliefPitcher
37,Ernie Miller,24,L,L,"6' 5""",195,"Jul 19, 1975","New York, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=miller003ern,,0.0,24,3,Pitcher
38,Steve Mintz,31,L,R,"5' 11""",190,"Nov 24, 1968","Wilmington, NC, US",https://www.baseball-reference.com/register/player.fcgi?id=mintz-001ste,https://www.baseball-reference.com/players/m/mintzst01.shtml,-194124.26293950644,17,12,ReliefPitcher
39,Scott Morgan,26,R,R,"6' 7""",230,"Jul 19, 1973","Westlake Village, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=morgan001sco,,0.0,7,9,Outfielder
40,Paul Morse,27,R,R,"6' 2""",185,"Feb 27, 1973","Mount Vernon, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=morse-002pau,,0.0,19,7,Pitcher
41,Nate Murphy,25,L,L,"6' 0""",190,"Apr 15, 1975","Northampton, MA, US",https://www.baseball-reference.com/register/player.fcgi?id=murphy001nat,,0.0,16,9,Outfielder
42,Elvin Nina,24,R,R,"6' 0""",180,"Nov 25, 1975","San Cristobal, San Cristobal, DO",https://www.baseball-reference.com/register/player.fcgi?id=nina--001elv,,0.0,17,9,Pitcher
43,Ramon Ortiz,27,R,R,"6' 0""",175,"May 23, 1973","Cotui, Sanchez Ramirez, DO",https://www.baseball-reference.com/register/player.fcgi?id=ortiz-001dio,https://www.baseball-reference.com/players/o/ortizra02.shtml,-325809.029165002,np.nan,11,StartingPitcher
44,Lou Pote,28,R,R,"6' 3""",200,"Aug 21, 1971","Evergreen Park, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=pote--001lou,https://www.baseball-reference.com/players/p/potelo01.shtml,-325809.029165002,29,14,Pitcher
45,Mike Saipe,26,R,R,"6' 1""",190,"Sep 10, 1973","San Diego, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=saipe-001mic,https://www.baseball-reference.com/players/s/saipemi01.shtml,0.0,12,11,Pitcher
46,Scott Sanders,31,R,R,"6' 4""",210,"Mar 25, 1969","Hannibal, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=sander001sco,https://www.baseball-reference.com/players/s/sandesc02.shtml,-7627054.34186588,1,9,Pitcher
47,Scott Schoeneweis,26,L,L,"6' 0""",186,"Oct 2, 1973","Long Branch, NJ, US",https://www.baseball-reference.com/register/player.fcgi?id=schoen001sco,https://www.baseball-reference.com/players/s/schoesc01.shtml,-325809.029165002,3,5,ReliefPitcher
48,Scot Shields,24,R,R,"6' 1""",175,"Jul 22, 1975","Fort Lauderdale, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=shield002rob,https://www.baseball-reference.com/players/s/shielsc01.shtml,27890176.052937,38,7,ReliefPitcher
49,Mike Stoner,27,R,R,"5' 10""",210,"May 23, 1973","Shelbyville, KY, US",https://www.baseball-reference.com/register/player.fcgi?id=stoner001mic,,0.0,np.nan,6,"Leftfielder,FirstBaseman"
50,DaRond Stovall,27,S,L,"6' 1""",185,"Jan 3, 1973","St. Louis, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=stoval001dar,https://www.baseball-reference.com/players/s/stovada01.shtml,-283044.09963250306,5,10,Outfielder
51,Felipe Suarez,24,R,R,"6' 2""",185,"Mar 12, 1976","Bogota, Distrito Capital, CO",https://www.baseball-reference.com/register/player.fcgi?id=suarez004lui,,0.0,np.nan,4,ReliefPitcher
52,Juan Tolentino,24,R,R,"6' 0""",165,"Mar 12, 1976","San Pedro de Macoris, San Pedro de Macoris, DO",https://www.baseball-reference.com/register/player.fcgi?id=tolent001jua,,0.0,np.nan,6,Centerfielder
53,Bryan Ward,28,L,L,"6' 2""",210,"Jan 28, 1972","Bristol, PA, US",https://www.baseball-reference.com/register/player.fcgi?id=ward--001bry,https://www.baseball-reference.com/players/w/wardbr01.shtml,-633288.8059848802,20,12,Pitcher
54,Jarrod Washburn,25,L,L,"6' 1""",190,"Aug 13, 1974","La Crosse, WI, US",https://www.baseball-reference.com/register/player.fcgi?id=washbu001jar,https://www.baseball-reference.com/players/w/washbja01.shtml,-637361.4188494427,2,8,StartingPitcher
55,Eric Weaver,26,R,R,"6' 5""",230,"Aug 4, 1973","Springfield, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=weaver003jam,https://www.baseball-reference.com/players/w/weaveer01.shtml,-325809.029165002,np.nan,12,Pitcher
56,Shad Williams,29,R,R,"6' 0""",185,"Mar 10, 1971","Fresno, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=willia001sha,https://www.baseball-reference.com/players/w/willish01.shtml,0.0,17,10,Pitcher
57,Matt Wise,24,R,R,"6' 4""",190,"Nov 18, 1975","Montclair, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=wise--001mat,https://www.baseball-reference.com/players/w/wisema01.shtml,5320554.0100030685,6,8,Pitcher
58,Shawn Wooten,27,R,R,"5' 10""",205,"Jul 24, 1972","Glendora, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=wooten003wil,https://www.baseball-reference.com/players/w/wootesh01.shtml,2323671.4783195304,18,13,"ThirdBaseman,Catcher,FirstBaseman"
59,Ryan Zeber,22,R,R,"6' 2""",190,"May 24, 1978","Orange, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=zeber-001rya,,0.0,29,5,"Catcher,Leftfielder"
60,Darren Blakely,23,S,R,"6' 1""",200,"Mar 14, 1977","West Islip, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=blakel001dar,,0.0,5,8,Outfielder
61,Toby Borland,31,R,R,"6' 6""",186,"May 29, 1969","Ruston, LA, US",https://www.baseball-reference.com/register/player.fcgi?id=borlan001tob,https://www.baseball-reference.com/players/b/borlato02.shtml,-1140260.3994596922,27,17,ReliefPitcher
62,Jake Brooks,22,R,R,"6' 1""",175,"Mar 23, 1978","Ottawa, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=brooks001jac,,0.0,23,4,ReliefPitcher
63,Alvin Brown,29,R,R,"6' 1""",200,"Sep 2, 1970","Inglewood, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=brown-001alv,,0.0,12,10,"Pitcher,Catcher,FirstBaseman"
64,Sean Brummett,22,L,L,"6' 0""",200,"Jan 10, 1978","Lafayette, IN, US",https://www.baseball-reference.com/register/player.fcgi?id=brumme001sea,,0.0,15,3,Pitcher
65,Ryan Cummings,24,R,R,"6' 2""",220,"Jun 3, 1976","Raleigh, NC, US",https://www.baseball-reference.com/register/player.fcgi?id=cummin001rya,,0.0,8,7,ReliefPitcher
66,Jeb Dougherty,24,R,R,"6' 0""",190,"Jul 16, 1975","Palm Springs, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=doughe001jeb,,0.0,25,4,Rightfielder
67,Jimmy Escalante,23,S,R,"6' 2""",210,"Apr 5, 1977","Los Angeles, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=escala001jai,,0.0,36,4,"Catcher,ReliefPitcher,FirstBaseman"
68,Steve Fish,25,R,R,"6' 1""",189,"Oct 25, 1974","Portland, OR, US",https://www.baseball-reference.com/register/player.fcgi?id=fish--001ste,,0.0,22,4,"Pitcher,Rightfielder"
69,Jeff Guiel,26,L,R,"5' 11""",195,"Jan 12, 1974","North Vancouver, BC, CA",https://www.baseball-reference.com/register/player.fcgi?id=guiel-001jef,,0.0,np.nan,8,"Outfielder,FirstBaseman,ThirdBaseman"
70,Steve Hagins,25,R,R,"6' 1""",205,"Mar 7, 1975","Statesboro, GA, US",https://www.baseball-reference.com/register/player.fcgi?id=hagins001ste,,0.0,31,4,Catcher
71,Nathan Haynes,20,L,L,"5' 9""",180,"Sep 7, 1979","Oakland, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=haynes001nat,https://www.baseball-reference.com/players/h/haynena01.shtml,504173.1066460589,1,12,Centerfielder
72,Jay Hood,23,R,R,"6' 0""",185,"Mar 8, 1977","Hollywood, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=hood--002jam,,0.0,6,4,"Shortstop,SecondBaseman,ThirdBaseman"
73,Jason Huisman,24,R,R,"6' 3""",195,"Apr 16, 1976","Palos Heights, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=huisma001jas,,0.0,14,5,"SecondBaseman,ThirdBaseman,Rightfielder"
74,Gary Johnson,24,L,L,"6' 3""",210,"Oct 29, 1975","Palo Alto, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=johnso001ger,https://www.baseball-reference.com/players/j/johnsga01.shtml,0.0,19,6,Outfielder
75,John Lackey,21,R,R,"6' 6""",235,"Oct 23, 1978","Abilene, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=lackey002joh,https://www.baseball-reference.com/players/l/lackejo01.shtml,167812094.13996613,2,8,StartingPitcher
76,Al Levine,32,L,R,"6' 3""",180,"May 22, 1968","Park Ridge, IL, US",https://www.baseball-reference.com/register/player.fcgi?id=levine001ala,https://www.baseball-reference.com/players/l/levinal01.shtml,-904789.8070627686,11,11,ReliefPitcher
77,Kevin Lidle,28,R,R,"5' 11""",170,"Mar 22, 1972","Hollywood, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=lidle-001kev,,0.0,24,11,"Catcher,Pitcher"
78,Alex Lontayo,24,L,L,"6' 1""",190,"Dec 12, 1975","Colorado Springs, CO, US",https://www.baseball-reference.com/register/player.fcgi?id=lontay001ale,,0.0,np.nan,4,Pitcher
79,Matt Lubozynski,23,R,L,"6' 4""",190,"Nov 9, 1976","Fairborn, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=lubozy001mat,,0.0,42,3,ReliefPitcher
80,Brian Oliver,23,R,R,"5' 10""",170,"Nov 7, 1976","Antioch, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=oliver001bri,,0.0,4,5,"SecondBaseman,Shortstop,Rightfielder"
81,Joey Pipes,26,R,R,"6' 4""",220,"Nov 9, 1973","St. Louis, MO, US",https://www.baseball-reference.com/register/player.fcgi?id=pipes-001joe,,0.0,np.nan,3,Pitcher
82,Juan Rodriguez,25,S,L,"5' 10""",190,"Dec 16, 1974","Arecibo, PR",https://www.baseball-reference.com/register/player.fcgi?id=rodrig008jua,,0.0,np.nan,6,"Outfielder,FirstBaseman,ReliefPitcher"
83,Cody Salter,24,R,R,"6' 4""",200,"Oct 8, 1975","Spokane, WA, US",https://www.baseball-reference.com/register/player.fcgi?id=salter001cod,,0.0,np.nan,3,ReliefPitcher
84,Jim Scharrer,23,R,R,"6' 4""",220,"Nov 5, 1976","Erie, PA, US",https://www.baseball-reference.com/register/player.fcgi?id=scharr001jam,,0.0,2,6,"FirstBaseman,Leftfielder"
85,Derick Urquhart,24,L,L,"5' 8""",170,"Dec 20, 1975","Florence, SC, US",https://www.baseball-reference.com/register/player.fcgi?id=urquha001rod,,0.0,16,6,Outfielder
86,Chris Walther,23,R,R,"6' 2""",200,"Aug 28, 1976","Tampa, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=walthe001chr,,0.0,12,6,"ThirdBaseman,Outfielder,FirstBaseman"
87,Ben Weber,30,R,R,"6' 4""",185,"Nov 17, 1969","Port Arthur, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=weber-001ben,https://www.baseball-reference.com/players/w/weberbe01.shtml,3669148.7125593983,20,10,ReliefPitcher
88,Alfredo Amezaga,22,S,R,"5' 11""",165,"Jan 16, 1978","Ciudad Obregon, Sonora, MX",https://www.baseball-reference.com/register/player.fcgi?id=amezag001alf,https://www.baseball-reference.com/players/a/amezaal01.shtml,4235186.7610155335,13,12,"Shortstop,SecondBaseman,Outfielder"
89,Chris Barski,22,L,R,"6' 2""",210,"Jan 14, 1978","Burnaby, BC, CA",https://www.baseball-reference.com/register/player.fcgi?id=barski001chr,,0.0,11,3,"Catcher,FirstBaseman"
90,Casey Bell,21,R,R,"6' 2""",186,"Jul 14, 1978","Fayetteville, AR, US",https://www.baseball-reference.com/register/player.fcgi?id=bell--003mic,,0.0,15,3,Pitcher
91,Dusty Bergman,22,L,L,"6' 5""",200,"Feb 1, 1978","Carson City, NV, US",https://www.baseball-reference.com/register/player.fcgi?id=bergma001dus,https://www.baseball-reference.com/players/b/bergmdu01.shtml,0.0,6,8,Pitcher
92,Chad Berryman,23,R,R,"6' 3""",190,"Aug 2, 1976","Concord, NC, US",https://www.baseball-reference.com/register/player.fcgi?id=berrym001wil,,0.0,22,3,ReliefPitcher
93,Doug Bridges,23,L,L,"6' 2""",185,"Jul 20, 1976","Columbia, SC, US",https://www.baseball-reference.com/register/player.fcgi?id=bridge001dou,,0.0,17,3,StartingPitcher
94,Mike Christensen,24,R,R,"6' 2""",190,"May 24, 1976","Gainesville, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=christ003mic,,0.0,36,6,ThirdBaseman
95,Wesley Crawford,23,S,L,"6' 3""",200,"Dec 12, 1976","Jackson, MS, US",https://www.baseball-reference.com/register/player.fcgi?id=crawfo001wes,,0.0,45,3,Pitcher
96,Ariel Delgado,23,L,L,"6' 2""",210,"Sep 11, 1976","Santurce, PR",https://www.baseball-reference.com/register/player.fcgi?id=delgad001ari,,0.0,13,7,"FirstBaseman,Outfielder"
97,Angel Diaz,23,R,R,"6' 0""",198,"Jul 27, 1976","Meriden, CT, US",https://www.baseball-reference.com/register/player.fcgi?id=diaz--003ang,,0.0,29,4,"Catcher,FirstBaseman,Rightfielder"
98,Brandon Emanuel,24,R,R,"6' 3""",210,"Apr 9, 1976","Panama City, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=emanue001den,,0.0,2,8,Pitcher
99,Bien Encarnacion,22,R,R,"5' 11""",180,"Feb 24, 1978","Nizao, Peravia, DO",https://www.baseball-reference.com/register/player.fcgi?id=encarn001bie,,0.0,np.nan,5,"Shortstop,SecondBaseman,Outfielder"
100,Carlos Gastelum,20,R,R,"5' 10""",165,"Oct 29, 1979","Huatabampo, Sonora, MX",https://www.baseball-reference.com/register/player.fcgi?id=gastel001car,,0.0,np.nan,3,"SecondBaseman,Shortstop,Centerfielder"
101,Ben Grezlovski,23,R,R,"5' 11""",180,"Nov 22, 1976","Dearborn, MI, US",https://www.baseball-reference.com/register/player.fcgi?id=grezlo001ben,,0.0,24,5,ReliefPitcher
102,Elpidio Guzman,23,L,L,"6' 0""",165,"Feb 24, 1977","Santo Domingo, Distrito Nacional, DO",https://www.baseball-reference.com/register/player.fcgi?id=guzman001elp,,0.0,np.nan,8,Outfielder
103,Brent Haworth,23,R,R,"6' 6""",205,"Feb 26, 1977","Pasadena, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hawort001bre,,0.0,20,3,ReliefPitcher
104,Matt Hensley,21,R,R,"6' 2""",220,"Aug 18, 1978","San Diego, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hensle001mat,https://www.baseball-reference.com/players/h/henslma01.shtml,441167.5753961493,10,8,Pitcher
105,Jason Hill,23,R,R,"6' 3""",210,"Mar 17, 1977","San Francisco, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=hill--001jas,,0.0,8,10,"Catcher,FirstBaseman"
106,Greg Jacobs,23,L,L,"5' 9""",195,"Oct 9, 1976","Orange County, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=jacobs002gre,,0.0,13,9,"Outfielder,ReliefPitcher"
107,Scott Karl,28,L,L,"6' 2""",195,"Aug 9, 1971","Fontana, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=karl--001ran,https://www.baseball-reference.com/players/k/karlsc01.shtml,-6941153.530988173,6,6,StartingPitcher
108,Marcus Knight,21,S,R,"6' 0""",190,"Sep 10, 1978","Daytona Beach, FL, US",https://www.baseball-reference.com/register/player.fcgi?id=knight001mar,,0.0,7,6,Outfielder
109,Norberto Lopez,23,R,R,"5' 8""",190,"Dec 9, 1976","La Habana, La Habana, CU",https://www.baseball-reference.com/register/player.fcgi?id=lopez-001nor,,0.0,np.nan,3,Catcher
110,Mario Mendoza,21,R,R,"6' 3""",200,"Jan 19, 1979","Navojoa, Sonora, MX",https://www.baseball-reference.com/register/player.fcgi?id=mendoz004mar,,0.0,46,5,ReliefPitcher
111,Kent Mercker,32,L,L,"6' 1""",175,"Feb 1, 1968","Dublin, OH, US",https://www.baseball-reference.com/register/player.fcgi?id=mercke001ken,https://www.baseball-reference.com/players/m/merckke01.shtml,-22439376.560423028,1,9,ReliefPitcher
112,Bill Mott,24,L,R,"6' 2""",180,"Jan 2, 1976","San Luis Obispo, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=mott--001wil,,0.0,11,4,Outfielder
113,Troy Percival,30,R,R,"6' 3""",200,"Aug 9, 1969","Fontana, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=perciv001tro,https://www.baseball-reference.com/players/p/percitr01.shtml,-6997666.890792318,6,8,ReliefPitcher
114,Mark Petkovsek,34,R,R,"6' 0""",185,"Nov 18, 1965","Beaumont, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=petkov001mar,https://www.baseball-reference.com/players/p/petkoma01.shtml,-3600023.491861552,1,11,Pitcher
115,Robb Quinlan,23,R,R,"6' 1""",200,"Mar 17, 1977","St. Paul, MN, US",https://www.baseball-reference.com/register/player.fcgi?id=quinla001rob,https://www.baseball-reference.com/players/q/quinlro01.shtml,4753467.3783631325,10,8,"FirstBaseman,ThirdBaseman,Leftfielder"
116,Francisco Rodriguez,18,R,R,"6' 0""",195,"Jan 7, 1982","Caracas, Distrito Federal, VE",https://www.baseball-reference.com/register/player.fcgi?id=rodrig009fra,https://www.baseball-reference.com/players/r/rodrifr03.shtml,102184731.95277424,np.nan,6,ReliefPitcher
117,Brian Specht,19,S,R,"5' 11""",185,"Oct 19, 1980","Colorado Springs, CO, US",https://www.baseball-reference.com/register/player.fcgi?id=specht001bri,,0.0,9,7,"Shortstop,SecondBaseman,Leftfielder"
118,Rich Stuart,23,R,R,"5' 11""",180,"Jul 31, 1976","New York, NY, US",https://www.baseball-reference.com/register/player.fcgi?id=stuart001ric,,0.0,7,6,Outfielder
119,Charlie Thames,21,R,R,"6' 1""",190,"May 23, 1979","Houston, TX, US",https://www.baseball-reference.com/register/player.fcgi?id=thames001cha,,0.0,4,3,ReliefPitcher
120,Phil Wilson,19,R,R,"6' 9""",235,"Apr 1, 1981","Charleston, WV, US",https://www.baseball-reference.com/register/player.fcgi?id=wilson002phi,,0.0,3,6,StartingPitcher
121,Steve Ahlers,21,R,R,"6' 0""",175,"Nov 18, 1978","Walnut Creek, CA, US",https://www.baseball-reference.com/register/player.fcgi?id=ahlers001ste,,0.0,53,3,"SecondBaseman,Shortstop,ThirdBaseman"
